[WORKLOAD] mongo-pod starting, endpoint=Mongo-AWS
{'_id': ObjectId('69ff4e61dfc4a5e70a90f8a8'), 'username': 'user217', 'email': 'user217@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 758000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fdd0'), 'username': 'user1537', 'email': 'user1537@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fdda'), 'username': 'user1547', 'email': 'user1547@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc97'), 'username': 'user1224', 'email': 'user1224@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fda0'), 'username': 'user1489', 'email': 'user1489@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fdfb'), 'username': 'user1580', 'email': 'user1580@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fd37'), 'username': 'user1384', 'email': 'user1384@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fdd7'), 'username': 'user1544', 'email': 'user1544@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90ff21'), 'username': 'user1874', 'email': 'user1874@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc40'), 'username': 'user1137', 'email': 'user1137@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fd82'), 'username': 'user1459', 'email': 'user1459@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc62'), 'username': 'user1171', 'email': 'user1171@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fdd8'), 'username': 'user1545', 'email': 'user1545@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc81'), 'username': 'user1202', 'email': 'user1202@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fe1a'), 'username': 'user1611', 'email': 'user1611@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc76'), 'username': 'user1191', 'email': 'user1191@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fd22'), 'username': 'user1363', 'email': 'user1363@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90ff5f'), 'username': 'user1936', 'email': 'user1936@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc49'), 'username': 'user1146', 'email': 'user1146@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fc7d'), 'username': 'user1198', 'email': 'user1198@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fd8a'), 'username': 'user1467', 'email': 'user1467@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90ff02'), 'username': 'user1843', 'email': 'user1843@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fe67'), 'username': 'user1688', 'email': 'user1688@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
{'_id': ObjectId('69ff4e61dfc4a5e70a90fe93'), 'username': 'user1732', 'email': 'user1732@example.com', 'age': 30, 'created_at': datetime.datetime(2026, 5, 9, 15, 10, 24, 759000)}
[WORKLOAD] mongo-pod done: 50 docs in 0.763s
